strain,stress
0.003074419,5.172928
0.006172093,8.079324
0.009242791,10.946092
0.012340465,13.781668
0.015436279,16.563236
0.018505116,19.280694
0.021604651,21.88124
0.024673488,24.32958
0.027772093,26.73326
0.030868837,29.12124
0.033937674,31.40644
0.037032558,33.59958
0.040129302,35.66178
0.04319907,37.62736
0.046296744,39.45536
0.049367442,41.14708
0.052464186,42.7015
0.05556093,44.12604
0.058634419,45.40006
0.061731163,46.55374
0.0648,47.58474
0.067896744,48.4866
0.070993488,49.27062
0.074064186,49.97548
0.07716,50.5741
0.080229767,51.0617
0.083323721,51.46918
0.086420465,51.8135
0.089493023,52.12456
0.092588837,52.35078
0.095687442,52.53124
0.09876,52.65032
0.101856744,52.76396
0.104927442,52.83908
0.108023256,52.89812
0.11112,52.92026
0.114188837,52.89638
0.117289302,52.89758
0.120362791,52.91686
0.123461395,52.86098
0.126531163,52.83342
0.129627907,52.79682
0.132723721,52.73474
0.135795349,52.6906
0.138890233,52.64274
0.14196,52.63058
0.145056744,52.55784
0.148156279,52.49712
0.151228837,52.44128
0.154323721,52.39534
0.157392558,52.34838
0.160489302,52.29228
0.163586047,52.2501
0.166655814,52.22578
0.169752558,52.18792
0.172822326,52.14262
0.17591907,52.09248
0.179017674,52.07216
0.182089302,52.03
0.185185116,51.99824
0.188257674,51.9679
0.191357209,51.94438
0.194430698,51.91318
0.197531163,51.88654
0.200628837,51.87632
0.203724651,51.84404
0.206791628,51.81384
0.209885581,51.81412
0.212980465,51.81066
0.216046512,51.78958
0.219139535,51.77858
0.222231628,51.78842
0.225328372,51.76776
0.228397209,51.76254
0.231493023,51.75846
0.234589767,51.76342
0.237658605,51.7593
0.240755349,51.75958
0.243849302,51.76392
0.246914419,51.75606
0.250007442,51.76568
0.253098605,51.75478
0.256189767,51.75928
0.25927814,51.7634
0.262369302,51.77944
0.265432558,51.76876
0.268522791,51.77516
0.271614884,51.77808
0.274705116,51.78488
0.277794419,51.78346
0.280884651,51.78634
0.283947907,51.78558
0.287037209,51.80122
0.290127442,51.7885
0.293216744,51.80674
0.296306977,51.81698
0.2994,51.8282
0.302468837,51.83602
0.30556,51.84912
0.308649302,51.84184
0.311738605,51.86634
0.314829767,51.86698
0.31792,51.87628
0.321010233,51.88224
0.324074419,51.87206
0.327164651,51.8806
0.330254884,51.89182
0.333347907,51.90878
0.336436279,51.90556
0.339527442,51.9052
0.342589767,51.91138
0.34568,51.91104
0.348770233,51.91218
0.351863256,51.91974
0.354952558,51.91222
0.358042791,51.941
0.361109767,51.94694
0.364202791,51.9455
0.367293953,51.94848
0.370384186,51.96104
0.373473488,51.97086
0.376563721,51.98304
0.379627907,52.0026
0.382717209,52.01704
0.385807442,52.0077
0.388897674,52.0166
0.391990698,52.0285
0.395058605,52.03784
0.398151628,52.04548
0.401244651,52.05872
0.404337674,52.0636
0.407430698,52.07122
0.410496744,52.09218
0.413590698,52.08638
0.416682791,52.10138
0.419772093,52.1075
0.422836279,52.10086
0.425928372,52.12724
0.429020465,52.12876
0.432109767,52.14852
0.43519907,52.17678
0.438290233,52.18014
0.441354419,52.18866
0.444442791,52.19312
0.447533023,52.19174
0.450623256,52.21288
0.453717209,52.2205
0.456807442,52.23414
0.459898605,52.22414
0.46296,52.23552
0.466050233,52.24242
0.469141395,52.26014
0.472234419,52.27454
0.475327442,52.28956
0.478394419,52.2896
0.481487442,52.30036
0.484580465,52.30742
0.487674419,52.31954
0.490740465,52.3444
0.493833488,52.37054
0.496926512,52.38214
0.500019535,52.38374
0.503085581,52.39676
0.506178605,52.40736
0.509268837,52.42892
0.51235814,52.42706
0.515450233,52.42378
0.518540465,52.45984
0.521602791,52.4598
0.524693023,52.46412
0.527782326,52.47172
0.530873488,52.47622
0.533963721,52.49572
0.537053953,52.49906
0.540143256,52.5086
0.543234419,52.51152
0.546327442,52.5289
0.549390698,52.55306
0.55248093,52.54472
0.555573953,52.56006
0.558664186,52.58176
0.561754419,52.59806
0.564843721,52.60652
0.567933953,52.5971
0.570997209,52.61442
0.574086512,52.62986
0.577178605,52.64222
0.580269767,52.65006
0.58336093,52.66392
0.586449302,52.67786
0.589538605,52.69212
0.59260186,52.72158
0.595692093,52.72394
0.598782326,52.74398
0.601875349,52.75804
0.604972093,52.77934
0.60804093,52.80388
0.611134884,52.83
0.614226047,52.83582
0.617316279,52.85436
0.620378605,52.87694
0.623469767,52.87722
0.62655907,52.89438
0.629649302,52.90942
0.632740465,52.91282
0.635829767,52.92454
0.63892093,52.9259
0.641983256,52.95402
0.645075349,52.96614
0.648164651,52.98936
0.651253953,52.99794
0.654344186,53.00318
0.657437209,53.02062
0.660526512,53.03858
0.663588837,53.03444
0.66668,53.04204
0.669772093,53.05364
0.672862326,53.0747
0.675952558,53.07616
0.67904186,53.09206
0.682133953,53.0928
0.685196279,53.10818
0.688285581,53.11992
0.691374884,53.13136
0.694466047,53.13772
0.697557209,53.14024
0.700647442,53.15614
0.703737674,53.16334
0.706802791,53.18418
0.709895814,53.1876
0.712986977,53.20038
0.716076279,53.2023
0.719166512,53.21014
0.722232558,53.2271
0.725324651,53.23478
0.728418605,53.2356
0.731511628,53.22936
0.734604651,53.26122
0.737668837,53.25002
0.74075814,53.2832
0.743848372,53.30666
0.746938605,53.31338
0.750028837,53.32584
0.75311814,53.34072
0.756208372,53.37254
0.759275349,53.38812
0.762364651,53.40452
0.765453023,53.41788
0.768544186,53.44772
0.771633488,53.46284
0.774722791,53.47914
0.777813953,53.49994
0.780875349,53.51898
0.783969302,53.55266
0.787062326,53.58042
0.79015814,53.59826
0.793224186,53.62024
0.79631814,53.64752
0.799411163,53.66962
0.802504186,53.6718
0.805571163,53.68544
0.808665116,53.69954
0.81175907,53.7032
0.814852093,53.72358
0.81791814,53.72816
0.821013023,53.72786
0.824106047,53.7388
0.827172093,53.74328
0.830265116,53.75046
0.83335907,53.76532
0.836451163,53.77394
0.839541395,53.78988
0.842605581,53.79962
0.845695814,53.8105
0.848789767,53.82494
0.851882791,53.83032
0.854973023,53.83688
0.858037209,53.85462
0.861129302,53.86686
0.864217674,53.88174
0.867307907,53.90292
0.870397209,53.92034
0.873488372,53.93904
0.876578605,53.93654
0.87964186,53.94444
0.882733953,53.96166
0.885825116,53.96722
0.888914419,53.9841
0.892004651,53.99784
0.895093953,54.00966
0.898185116,54.01584
0.901247442,54.0345
0.904337674,54.0491
0.907427907,54.0575
0.910522791,54.06482
0.913617674,54.0842
0.91668093,54.09532
0.919771163,54.11106
0.922861395,54.12896
0.925951628,54.16356
0.92904186,54.16446
0.932132093,54.19288
0.935223256,54.1877
0.938286512,54.19592
0.941378605,54.21432
0.944472558,54.24766
0.947565581,54.25822
0.950632558,54.27006
0.953725581,54.275
0.956819535,54.29954
0.959912558,54.32504
0.962981395,54.34796
0.966075349,54.35548
0.969168372,54.36734
0.972236279,54.37524
0.975329302,54.39196
0.978422326,54.40538
0.981515349,54.43646
0.984581395,54.45014
0.98767814,54.47788
0.990770233,54.49282
