strain,stress
0.0036752,1.4400924
0.0086464,6.71244
0.0136128,12.051896
0.0185776,17.168924
0.023544,21.971052
0.0285112,26.46064
0.0334768,30.58878
0.0384408,34.31862
0.043408,37.646296
0.0483744,40.47836
0.0533432,42.99696
0.0583088,45.18448
0.0632736,47.08696
0.0682408,48.70816
0.073224,50.1036
0.0781896,51.28088
0.0831568,52.29184
0.088108,53.11296
0.093076,53.77292
0.0980424,54.2998
0.1030264,54.6564
0.10798,54.88184
0.112948,54.99264
0.1179128,54.97392
0.1228792,54.83536
0.1278616,54.59596
0.1328136,54.24128
0.1377968,53.75772
0.1427616,53.07544
0.1477288,52.03488
0.1526952,50.4426
0.1576616,48.71632
0.162628,47.55232
0.1675992,46.82692
0.1725528,46.23444
0.1775208,45.6914
0.1825,45.18476
0.1874624,44.73148
0.1924216,44.2892
0.1974016,43.84516
0.2023672,43.44628
0.207332,43.22868
0.2122944,43.17224
0.2172712,43.2416
0.2222264,43.38176
0.2271984,43.48152
0.2321704,43.59112
0.2371424,43.68816
0.2420968,43.81276
0.2470672,43.97036
0.25204,44.12612
0.2570104,44.26116
0.2619696,44.34688
0.2669456,44.43504
0.2718992,44.51604
0.2768712,44.5894
0.2818424,44.5594
0.2867976,44.53976
0.2917704,44.56152
0.2967424,44.57116
0.3017128,44.66528
0.3066688,44.78744
0.3116408,44.88388
0.3166008,44.93124
0.3215736,44.892
0.326544,44.89628
0.3315176,44.96172
0.3364712,45.06688
0.341448,45.14768
0.3464072,45.23136
0.351384,45.33772
0.356344,45.37584
0.3613208,45.25288
0.3662752,45.17012
0.3712496,45.2224
0.3762208,45.26188
0.3811752,45.35092
0.3861472,45.41184
0.3911184,45.39656
0.396076,45.37212
0.4010472,45.32992
0.4060184,45.33556
0.41098,45.4228
0.4159576,45.58688
0.4209176,45.62916
0.4258944,45.55412
0.4308536,45.57084
0.4358136,45.61324
0.4407888,45.6748
0.4457608,45.77688
0.4507144,45.80728
0.4556864,45.89108
0.4606584,45.98064
0.4656296,46.03148
0.4706008,45.94508
0.4755576,45.83552
0.4805304,45.76648
0.4854856,45.86288
0.490456,45.90488
0.495428,45.91896
0.5004,45.9232
0.5053544,45.91736
0.510344,46.0324
0.5152976,46.16992
0.5202704,46.16896
0.525236,46.041
0.5302144,45.99116
0.5351688,45.97084
0.54014,45.9916
0.5451112,45.98468
0.5500832,46.03884
0.5550384,46.09452
0.5600104,46.03856
0.5649816,45.88268
0.5699384,45.78372
0.5749096,45.75956
0.5798848,45.85692
0.5848376,45.92784
0.5898096,45.9638
0.5947816,45.9036
0.599752,45.85432
0.604708,45.91904
0.6096808,46.037
0.614656,46.03208
0.6196104,45.9562
0.624584,46.01936
0.6295432,46.02936
0.6345216,46.0572
0.6394936,46.06668
0.6444488,45.9966
0.64942,46.11296
0.6543912,46.13844
0.6593488,46.12148
0.6643192,46.05516
0.6692928,46.0034
0.6742632,46.11308
0.6792216,46.2408
0.6841848,46.21832
0.6891624,46.11252
0.6941216,46.07684
0.6991,46.1804
0.7040584,46.36588
0.7090192,46.49936
0.713996,46.71604
0.718956,46.7222
0.7239312,46.60864
0.7289024,46.72076
0.7338592,46.91268
0.7388344,47.11748
0.7437912,47.13536
0.7487624,47.15684
0.7537344,47.19952
0.7587048,47.20664
0.76366,47.19424
0.7686328,47.2092
0.7736048,47.28612
0.778576,47.32872
0.7835296,47.22028
0.7885096,47.16048
0.7934632,47.0608
0.7984344,46.96688
0.8034064,46.9582
0.8083776,47.0352
0.8133344,47.15184
0.8183128,47.1556
0.8232728,46.99048
0.828232,46.99248
0.833212,47.1688
0.838172,47.16764
0.8431328,47.05212
0.8481104,47.08196
0.8530728,47.21764
0.8580488,47.30244
0.8630088,47.33284
0.8679856,47.37412
0.8729448,47.42424
0.877904,47.28408
0.882876,47.27268
0.887848,47.35896
0.8928048,47.41988
0.8977776,47.4478
0.902748,47.40376
0.9077208,47.53184
0.9126744,47.62616
0.917648,47.55104
0.92262,47.57604
0.9275904,47.68988
0.932544,47.76592
0.937516,47.76928
0.9424912,47.75944
0.9474496,47.8818
0.9524208,47.93228
0.9573928,47.88284
0.9623512,47.94496
0.9673232,47.98424
0.972296,47.90816
0.9772496,47.88084
0.9822208,47.77272
0.9871928,47.73808
0.992164,47.8062
0.9971208,47.8094
1.0020928,47.85024
1.0070672,47.9496
1.0120216,47.946
1.0169928,47.91296
1.0219632,47.77508
1.0269368,47.65308
1.0318896,47.71556
1.0368616,47.70372
1.0418208,47.58992
1.046804,47.59292
1.0517704,47.66224
1.0567344,47.53816
1.0616912,47.36696
1.0666624,47.42128
1.0716344,47.5676
1.0766072,47.58552
1.0815608,47.56048
1.086532,47.60204
1.091504,47.5382
1.09646,47.6132
1.1014328,47.71484
1.1064056,47.8116
1.1113768,47.81524
1.116332,47.78908
1.1213032,47.88484
1.1262744,47.85368
1.1312304,47.94136
1.1362048,48.05424
1.1411792,48.02588
1.1461328,48.07272
1.1511056,48.13948
1.1560824,48.1668
1.1610384,48.1652
1.1660088,48.1048
1.1709808,48.137
1.1759528,48.15668
1.1809112,48.13212
1.1858816,48.10588
1.1908536,48.12132
1.1958088,48.15488
1.20078,48.226
1.2057528,48.26692
1.2107088,48.27984
1.21568,48.1668
1.2206552,48.06396
1.2256144,48.01864
1.2305888,47.8424
1.235544,47.80852
1.2405144,47.96712
1.245488,47.97552
1.2504488,48.05816
1.2554248,48.12668
1.2603856,48.193
1.2653464,48.2838
1.2703256,48.32712
1.2752816,48.38008
1.280252,48.36352
1.2852248,48.29184
1.2901984,48.23044
1.295152,48.29984
1.300124,48.24952
1.3050952,48.11684
1.310052,48.19444
1.3150288,48.27136
1.3199992,48.30612
1.3249536,48.35064
1.3299248,48.42568
1.3348976,48.51116
1.3398696,48.55908
1.3448232,48.57916
1.3497944,48.52232
1.3547688,48.55852
1.3597304,48.51504
1.3646952,48.52692
1.3696736,48.56108
1.3746336,48.70348
1.3795952,48.81332
1.3845728,48.92392
1.3895336,49.1352
1.3945112,49.28536
1.3994736,49.44572
1.4044328,49.56612
1.4094104,49.65032
1.4143696,49.79488
1.4193336,49.9914
1.4243112,50.18312
1.429272,50.37692
1.4342488,50.6594
1.4392088,50.90348
1.4441696,51.13752
1.4491408,51.31348
1.454112,51.47232
1.4590832,51.59272
1.4640416,51.68528
1.4690184,51.75588
1.4739776,51.75596
1.4789504,51.72976
1.4839064,51.74096
1.4888816,51.7982
1.4938528,51.92852
1.4988072,52.10848
1.5037784,52.3056
1.5087512,52.46936
1.5137232,52.66384
1.5186768,52.93312
1.523652,53.17892
1.5286232,53.409
1.5335784,53.6174
1.5385488,53.857
1.5435208,54.02696
1.5484928,54.17292
1.553448,54.27944
1.5584192,54.38776
1.5633904,54.49836
1.5683464,54.59936
1.5733272,54.67272
1.5782896,54.7414
1.58326,54.78712
1.5882312,54.82436
1.5931856,54.86364
1.5981568,54.85372
1.6031296,54.86288
1.6081008,54.85328
1.6130552,54.73132
1.6180288,-0.9746636
