strain,stress
2.64762E-05,1.113637667
5.26349E-05,1.512315667
7.91111E-05,1.924273333
0.00010527,2.312910667
0.000131746,2.716873
0.000157905,3.113216
0.000184381,3.509773333
0.000210794,3.900653333
0.000237016,4.289246667
0.000263429,4.68637
0.000289651,5.06735
0.000316063,5.47524
0.000342286,5.867173333
0.000368762,6.25101
0.000394921,6.63149
0.000421333,7.02662
0.000447746,7.415513333
0.000473968,7.797756667
0.000500317,8.174336667
0.00052673,8.555843333
0.000553079,8.92958
0.000579429,9.30403
0.000605587,9.681713333
0.000632,10.06826
0.000658349,10.42275
0.000684698,10.80976
0.000711111,11.18482667
0.00073746,11.53301667
0.000763619,11.90002667
0.000789968,12.26425
0.000816381,12.63601
0.000842794,13.01037333
0.000868952,13.36104333
0.000895302,13.71994333
0.000921714,14.06746667
0.000948063,14.40580333
0.000974476,14.76200333
0.001000635,15.11934333
0.001027048,15.47091667
0.001053397,15.81300333
0.001079746,16.13843667
0.001106159,16.48393333
0.001132254,16.83218333
0.001158667,17.16594
0.001185016,17.49938667
0.001211365,17.81167
0.001237778,18.14164333
0.001263937,18.48315667
0.001290286,18.79905333
0.001316698,19.11446
0.001343048,19.41736
0.001369397,19.74662667
0.00139581,20.04494667
0.001421968,20.34175
0.001448317,20.65049
0.00147473,20.97044333
0.001501079,21.26337
0.001527492,21.53918333
0.001553587,21.85773
0.00158,22.13836667
0.001606349,22.41795333
0.001632762,22.68983
0.001659111,22.95726
0.001685333,23.24407333
0.001711683,23.52116
0.001738095,23.76977667
0.001764254,24.03901
0.001790603,24.31509667
0.001817016,24.57663
0.001843365,24.83963333
0.001869778,25.09622667
0.001896127,25.32837
0.001922286,25.581
0.001948635,25.83519333
0.001975048,26.06758333
0.00200146,26.31764333
0.002027619,26.54006
0.002054032,26.78566
0.002080444,26.98993
0.002106603,27.23121
0.002132952,27.46401333
0.002159365,27.67599667
0.002185714,27.91804333
0.002212127,28.12917333
0.002238476,28.34817333
0.002264635,28.57608667
0.002290984,28.78057667
0.002317333,28.98642667
0.002343746,29.21935667
0.002370095,29.42843
0.002396254,29.62957667
0.002422603,29.82902
0.002449016,30.03713
0.002475365,30.24984333
0.002501778,30.45185333
0.002527937,30.65057667
0.002554349,30.85409333
0.002580762,31.03925667
0.002607111,31.21918667
0.00263327,31.43411667
0.002659619,31.60954
0.002685968,31.79009
0.002712381,31.99374333
0.00273873,32.17911667
0.002765079,32.37180667
0.002791238,32.54785
0.002817651,32.75089333
0.002844,32.9242
0.002870349,33.10686
0.002896762,33.27073
0.002923111,33.44993333
0.00294927,33.6524
0.002975619,33.82393333
0.003002032,34.0034
0.003028444,34.1858
0.00305454,34.35156667
0.003080952,34.53156667
0.003107365,34.69953333
0.003133714,34.86516667
0.003160127,35.0159
0.003186222,35.19463333
0.003212635,35.3527
0.003238984,35.51373333
0.003265397,35.67876667
0.003291746,35.85503333
0.003317905,36.02276667
0.003344317,36.16603333
0.00337073,36.33123333
0.003396889,36.50583333
0.003423302,36.6706
0.003449714,36.81383333
0.003476127,36.98733333
0.003502286,37.14623333
0.003528698,37.3082
0.003555048,37.46013333
0.003581397,37.61266667
0.003607619,37.77
0.003633968,37.93116667
0.003660317,38.0814
0.003686667,38.2384
0.003713079,38.38136667
0.003739238,38.5251
0.003765587,38.68776667
0.003791937,38.85283333
0.003818349,38.99276667
0.003844698,39.12623333
0.003870857,39.2832
0.00389727,39.44026667
0.003923619,39.58656667
0.003949968,39.7249
0.003976381,39.88106667
0.00400254,40.02866667
0.004028952,40.17943333
0.004055365,40.31916667
0.004081778,40.46306667
0.004107937,40.6043
0.004134349,40.75463333
0.004160762,40.89703333
0.004186921,41.0401
0.004213333,41.19193333
0.004239746,41.33206667
0.004265905,41.46586667
0.004292317,41.607
0.004318667,41.74806667
0.004345016,41.88806667
0.004371429,42.03453333
0.004397587,42.16776667
0.004423937,42.31456667
0.004450286,42.429
0.004476698,42.577
0.004503111,42.72193333
0.004529206,42.8469
0.004555619,42.9691
0.004581968,43.11736667
0.004608317,43.24523333
0.00463473,43.38496667
0.004660889,43.51393333
0.004687238,43.6356
0.004713651,43.76836667
0.00474,43.89903333
0.004766413,44.0313
0.004792508,44.16443333
0.004818921,44.2825
0.00484527,44.40786667
0.004871619,44.5375
0.004898032,44.66363333
0.004924444,44.788
0.00495054,44.92526667
0.004976952,45.0197
0.005003302,45.14076667
0.005029651,45.2772
0.005056063,45.4089
0.005082413,45.53453333
0.005108571,45.6521
0.005134984,45.771
0.005161206,45.86403333
0.005187619,45.984
0.005214032,46.1099
0.005240381,46.24256667
0.00526673,46.35613333
0.005292889,46.4783
0.005319302,46.58403333
0.005345651,46.69526667
0.005372,46.80096667
0.005398413,46.9449
0.005424571,47.04656667
0.005450921,47.15143333
0.00547727,47.2691
0.005503683,47.37383333
0.005530032,47.51183333
0.005556444,47.60313333
0.00558254,47.7086
0.005608952,47.85073333
0.005635302,47.9622
0.005661714,48.06103333
0.005687873,48.16266667
0.005714222,48.27466667
0.005740571,48.3788
0.005766984,48.4764
0.005793333,48.58896667
0.005819746,48.71966667
0.005845841,48.8065
0.005872254,48.9079
